Year,complication,category,Strata,readmission,Yes,Count
2018-2019,Deep Sternal Infection,Age,0 to 40,N,0,0
2018-2019,Deep Sternal Infection,Age,41-65,N,0.00109,11
2018-2019,Deep Sternal Infection,Age,66 to Max,N,0.00081,11
2018-2019,Deep Sternal Infection,All,All,N,0.00093,22
2018-2019,Deep Sternal Infection,CABG type,CABG+Valve,N,0.00169,5
2018-2019,Deep Sternal Infection,CABG type,Isolated CABG,N,0.00082,16
2018-2019,Deep Sternal Infection,CABG type,Other Non-Isolated CABG,N,0.00075,1
2018-2019,Deep Sternal Infection,Gender,Female,N,0.00122,6
2018-2019,Deep Sternal Infection,Gender,Male,N,0.00085,16
2018-2019,Deep Sternal Infection,PayorType,Medi-Cal,N,0.00162,1
2018-2019,Deep Sternal Infection,PayorType,Medicare,N,0.00237,7
2018-2019,Deep Sternal Infection,PayorType,Other Insurance,N,0.00057,11
2018-2019,Deep Sternal Infection,PayorType,Private Insurance,N,0.00374,3
2018-2019,Deep Sternal Infection,PayorType,Uninsured,N,0,0
2018-2019,Deep Sternal Infection,Race,Asian,N,0.00031,1
2018-2019,Deep Sternal Infection,Race,Black,N,0.00109,1
2018-2019,Deep Sternal Infection,Race,Hispanic,N,0.00061,3
2018-2019,Deep Sternal Infection,Race,Native,N,0,0
2018-2019,Deep Sternal Infection,Race,Others,N,0.00162,2
2018-2019,Deep Sternal Infection,Race,Pacific,N,0.00498,1
2018-2019,Deep Sternal Infection,Race,White,N,0.00106,14
2018-2019,Post-Operative Atrial Fibrillation,Age,0 to 40,N,0.07853,15
2018-2019,Post-Operative Atrial Fibrillation,Age,41-65,N,0.1951,1960
2018-2019,Post-Operative Atrial Fibrillation,Age,66 to Max,N,0.32809,4442
2018-2019,Post-Operative Atrial Fibrillation,All,All,N,0.26989,6417
2018-2019,Post-Operative Atrial Fibrillation,CABG type,CABG+Valve,N,0.37504,1109
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Isolated CABG,N,0.25141,4898
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Other Non-Isolated CABG,N,0.30666,410
2018-2019,Post-Operative Atrial Fibrillation,Gender,Female,N,0.24302,1193
2018-2019,Post-Operative Atrial Fibrillation,Gender,Male,N,0.27689,5224
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medi-Cal,N,0.17208,106
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medicare,N,0.33502,991
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Other Insurance,N,0.26435,5121
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Private Insurance,N,0.24035,193
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Uninsured,N,0.22222,6
2018-2019,Post-Operative Atrial Fibrillation,Race,Asian,N,0.25301,820
2018-2019,Post-Operative Atrial Fibrillation,Race,Black,N,0.22732,208
2018-2019,Post-Operative Atrial Fibrillation,Race,Hispanic,N,0.19774,979
2018-2019,Post-Operative Atrial Fibrillation,Race,Native,N,0.13514,10
2018-2019,Post-Operative Atrial Fibrillation,Race,Others,N,0.27287,337
2018-2019,Post-Operative Atrial Fibrillation,Race,Pacific,N,0.23383,47
2018-2019,Post-Operative Atrial Fibrillation,Race,White,N,0.30519,4016
2018-2019,Post-Operative Dialysis,Age,0 to 40,N,0.01047,2
2018-2019,Post-Operative Dialysis,Age,41-65,N,0.00737,74
2018-2019,Post-Operative Dialysis,Age,66 to Max,N,0.01529,207
2018-2019,Post-Operative Dialysis,All,All,N,0.0119,283
2018-2019,Post-Operative Dialysis,CABG type,CABG+Valve,N,0.01826,54
2018-2019,Post-Operative Dialysis,CABG type,Isolated CABG,N,0.00991,193
2018-2019,Post-Operative Dialysis,CABG type,Other Non-Isolated CABG,N,0.02693,36
2018-2019,Post-Operative Dialysis,Gender,Female,N,0.01691,83
2018-2019,Post-Operative Dialysis,Gender,Male,N,0.0106,200
2018-2019,Post-Operative Dialysis,PayorType,Medi-Cal,N,0.02273,14
2018-2019,Post-Operative Dialysis,PayorType,Medicare,N,0.02603,77
2018-2019,Post-Operative Dialysis,PayorType,Other Insurance,N,0.00914,177
2018-2019,Post-Operative Dialysis,PayorType,Private Insurance,N,0.01868,15
2018-2019,Post-Operative Dialysis,PayorType,Uninsured,N,0,0
2018-2019,Post-Operative Dialysis,Race,Asian,N,0.01234,40
2018-2019,Post-Operative Dialysis,Race,Black,N,0.01749,16
2018-2019,Post-Operative Dialysis,Race,Hispanic,N,0.01171,58
2018-2019,Post-Operative Dialysis,Race,Native,N,0,0
2018-2019,Post-Operative Dialysis,Race,Others,N,0.01619,20
2018-2019,Post-Operative Dialysis,Race,Pacific,N,0.01493,3
2018-2019,Post-Operative Dialysis,Race,White,N,0.0111,146
2018-2019,Post-Operative Renal Failure,Age,0 to 40,N,0.01571,3
2018-2019,Post-Operative Renal Failure,Age,41-65,N,0.01284,129
2018-2019,Post-Operative Renal Failure,Age,66 to Max,N,0.02327,315
2018-2019,Post-Operative Renal Failure,All,All,N,0.0188,447
2018-2019,Post-Operative Renal Failure,CABG type,CABG+Valve,N,0.03044,90
2018-2019,Post-Operative Renal Failure,CABG type,Isolated CABG,N,0.0155,302
2018-2019,Post-Operative Renal Failure,CABG type,Other Non-Isolated CABG,N,0.04114,55
2018-2019,Post-Operative Renal Failure,Gender,Female,N,0.02506,123
2018-2019,Post-Operative Renal Failure,Gender,Male,N,0.01717,324
2018-2019,Post-Operative Renal Failure,PayorType,Medi-Cal,N,0.03734,23
2018-2019,Post-Operative Renal Failure,PayorType,Medicare,N,0.0355,105
2018-2019,Post-Operative Renal Failure,PayorType,Other Insurance,N,0.01512,293
2018-2019,Post-Operative Renal Failure,PayorType,Private Insurance,N,0.03238,26
2018-2019,Post-Operative Renal Failure,PayorType,Uninsured,N,0,0
2018-2019,Post-Operative Renal Failure,Race,Asian,N,0.02098,68
2018-2019,Post-Operative Renal Failure,Race,Black,N,0.02514,23
2018-2019,Post-Operative Renal Failure,Race,Hispanic,N,0.01939,96
2018-2019,Post-Operative Renal Failure,Race,Native,N,0,0
2018-2019,Post-Operative Renal Failure,Race,Others,N,0.0251,31
2018-2019,Post-Operative Renal Failure,Race,Pacific,N,0.01493,3
2018-2019,Post-Operative Renal Failure,Race,White,N,0.01717,226
2018-2019,Post-Operative Stroke,Age,0 to 40,N,0.01047,2
2018-2019,Post-Operative Stroke,Age,41-65,N,0.01005,101
2018-2019,Post-Operative Stroke,Age,66 to Max,N,0.0175,237
2018-2019,Post-Operative Stroke,All,All,N,0.0143,340
2018-2019,Post-Operative Stroke,CABG type,CABG+Valve,N,0.01725,51
2018-2019,Post-Operative Stroke,CABG type,Isolated CABG,N,0.01247,243
2018-2019,Post-Operative Stroke,CABG type,Other Non-Isolated CABG,N,0.03441,46
2018-2019,Post-Operative Stroke,Gender,Female,N,0.02057,101
2018-2019,Post-Operative Stroke,Gender,Male,N,0.01267,239
2018-2019,Post-Operative Stroke,PayorType,Medi-Cal,N,0.02273,14
2018-2019,Post-Operative Stroke,PayorType,Medicare,N,0.02941,87
2018-2019,Post-Operative Stroke,PayorType,Other Insurance,N,0.01146,222
2018-2019,Post-Operative Stroke,PayorType,Private Insurance,N,0.01993,16
2018-2019,Post-Operative Stroke,PayorType,Uninsured,N,0.03704,1
2018-2019,Post-Operative Stroke,Race,Asian,N,0.01604,52
2018-2019,Post-Operative Stroke,Race,Black,N,0.02186,20
2018-2019,Post-Operative Stroke,Race,Hispanic,N,0.01414,70
2018-2019,Post-Operative Stroke,Race,Native,N,0,0
2018-2019,Post-Operative Stroke,Race,Others,N,0.017,21
2018-2019,Post-Operative Stroke,Race,Pacific,N,0.03483,7
2018-2019,Post-Operative Stroke,Race,White,N,0.01292,170
2018-2019,Prolonged Ventilation,Age,0 to 40,N,0.08901,17
2018-2019,Prolonged Ventilation,Age,41-65,N,0.05574,560
2018-2019,Prolonged Ventilation,Age,66 to Max,N,0.07032,952
2018-2019,Prolonged Ventilation,All,All,N,0.06431,1529
2018-2019,Prolonged Ventilation,CABG type,CABG+Valve,N,0.09638,285
2018-2019,Prolonged Ventilation,CABG type,Isolated CABG,N,0.0539,1050
2018-2019,Prolonged Ventilation,CABG type,Other Non-Isolated CABG,N,0.1451,194
2018-2019,Prolonged Ventilation,Gender,Female,N,0.08515,418
2018-2019,Prolonged Ventilation,Gender,Male,N,0.05889,1111
2018-2019,Prolonged Ventilation,PayorType,Medi-Cal,N,0.09091,56
2018-2019,Prolonged Ventilation,PayorType,Medicare,N,0.11055,327
2018-2019,Prolonged Ventilation,PayorType,Other Insurance,N,0.05513,1068
2018-2019,Prolonged Ventilation,PayorType,Private Insurance,N,0.09589,77
2018-2019,Prolonged Ventilation,PayorType,Uninsured,N,0.03704,1
2018-2019,Prolonged Ventilation,Race,Asian,N,0.06418,208
2018-2019,Prolonged Ventilation,Race,Black,N,0.08634,79
2018-2019,Prolonged Ventilation,Race,Hispanic,N,0.06403,317
2018-2019,Prolonged Ventilation,Race,Native,N,0.04054,3
2018-2019,Prolonged Ventilation,Race,Others,N,0.07449,92
2018-2019,Prolonged Ventilation,Race,Pacific,N,0.0995,20
2018-2019,Prolonged Ventilation,Race,White,N,0.06155,810
2018-2019,Re-Operative for Bleed,Age,0 to 40,N,0.02618,5
2018-2019,Re-Operative for Bleed,Age,41-65,N,0.01463,147
2018-2019,Re-Operative for Bleed,Age,66 to Max,N,0.02031,275
2018-2019,Re-Operative for Bleed,All,All,N,0.01796,427
2018-2019,Re-Operative for Bleed,CABG type,CABG+Valve,N,0.03213,95
2018-2019,Re-Operative for Bleed,CABG type,Isolated CABG,N,0.01453,283
2018-2019,Re-Operative for Bleed,CABG type,Other Non-Isolated CABG,N,0.03665,49
2018-2019,Re-Operative for Bleed,Gender,Female,N,0.01182,58
2018-2019,Re-Operative for Bleed,Gender,Male,N,0.01956,369
2018-2019,Re-Operative for Bleed,PayorType,Medi-Cal,N,0.0276,17
2018-2019,Re-Operative for Bleed,PayorType,Medicare,N,0.02299,68
2018-2019,Re-Operative for Bleed,PayorType,Other Insurance,N,0.01647,319
2018-2019,Re-Operative for Bleed,PayorType,Private Insurance,N,0.02864,23
2018-2019,Re-Operative for Bleed,PayorType,Uninsured,N,0,0
2018-2019,Re-Operative for Bleed,Race,Asian,N,0.0216,70
2018-2019,Re-Operative for Bleed,Race,Black,N,0.01311,12
2018-2019,Re-Operative for Bleed,Race,Hispanic,N,0.0202,100
2018-2019,Re-Operative for Bleed,Race,Native,N,0.01351,1
2018-2019,Re-Operative for Bleed,Race,Others,N,0.01619,20
2018-2019,Re-Operative for Bleed,Race,Pacific,N,0.02488,5
2018-2019,Re-Operative for Bleed,Race,White,N,0.01664,219
2018-2019,Reintervention for Myocardial Ischemia,Age,0 to 40,N,0,0
2018-2019,Reintervention for Myocardial Ischemia,Age,41-65,N,0.00169,17
2018-2019,Reintervention for Myocardial Ischemia,Age,66 to Max,N,0.00222,30
2018-2019,Reintervention for Myocardial Ischemia,All,All,N,0.00198,47
2018-2019,Reintervention for Myocardial Ischemia,CABG type,CABG+Valve,N,0.00034,1
2018-2019,Reintervention for Myocardial Ischemia,CABG type,Isolated CABG,N,0.00226,44
2018-2019,Reintervention for Myocardial Ischemia,CABG type,Other Non-Isolated CABG,N,0.0015,2
2018-2019,Reintervention for Myocardial Ischemia,Gender,Female,N,0.00346,17
2018-2019,Reintervention for Myocardial Ischemia,Gender,Male,N,0.00159,30
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Medi-Cal,N,0.00325,2
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Medicare,N,0.0027,8
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Other Insurance,N,0.0016,31
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Private Insurance,N,0.00747,6
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Uninsured,N,0,0
2018-2019,Reintervention for Myocardial Ischemia,Race,Asian,N,0.00216,7
2018-2019,Reintervention for Myocardial Ischemia,Race,Black,N,0.00219,2
2018-2019,Reintervention for Myocardial Ischemia,Race,Hispanic,N,0.00242,12
2018-2019,Reintervention for Myocardial Ischemia,Race,Native,N,0,0
2018-2019,Reintervention for Myocardial Ischemia,Race,Others,N,0.00162,2
2018-2019,Reintervention for Myocardial Ischemia,Race,Pacific,N,0,0
2018-2019,Reintervention for Myocardial Ischemia,Race,White,N,0.00182,24
2019-2020,Deep Sternal Infection,Age,0 to 40,N,0,0
2019-2020,Deep Sternal Infection,Age,41-65,N,0.00065,6
2019-2020,Deep Sternal Infection,Age,66 to Max,N,0.00057,7
2019-2020,Deep Sternal Infection,All,All,N,0.0006,13
2019-2020,Deep Sternal Infection,CABG type,CABG+Valve,N,0.00122,3
2019-2020,Deep Sternal Infection,CABG type,Isolated CABG,N,0.0005,9
2019-2020,Deep Sternal Infection,CABG type,Other Non-Isolated CABG,N,0.00083,1
2019-2020,Deep Sternal Infection,Gender,Female,N,0.00022,1
2019-2020,Deep Sternal Infection,Gender,Male,N,0.0007,12
2019-2020,Deep Sternal Infection,PayorType,Medi-Cal,N,0,0
2019-2020,Deep Sternal Infection,PayorType,Medicare,N,0.00156,4
2019-2020,Deep Sternal Infection,PayorType,Other Insurance,N,0.0005,9
2019-2020,Deep Sternal Infection,PayorType,Private Insurance,N,0,0
2019-2020,Deep Sternal Infection,PayorType,Uninsured,N,0,0
2019-2020,Deep Sternal Infection,Race,Asian,N,0.00033,1
2019-2020,Deep Sternal Infection,Race,Black,N,0,0
2019-2020,Deep Sternal Infection,Race,Hispanic,N,0.00022,1
2019-2020,Deep Sternal Infection,Race,Native,N,0,0
2019-2020,Deep Sternal Infection,Race,Others,N,0,0
2019-2020,Deep Sternal Infection,Race,Pacific,N,0,0
2019-2020,Deep Sternal Infection,Race,White,N,0.00093,11
2019-2020,Post-Operative Atrial Fibrillation,Age,0 to 40,N,0.07303,13
2019-2020,Post-Operative Atrial Fibrillation,Age,41-65,N,0.20071,1865
2019-2020,Post-Operative Atrial Fibrillation,Age,66 to Max,N,0.33164,4055
2019-2020,Post-Operative Atrial Fibrillation,All,All,N,0.27345,5933
2019-2020,Post-Operative Atrial Fibrillation,CABG type,CABG+Valve,N,0.38749,954
2019-2020,Post-Operative Atrial Fibrillation,CABG type,Isolated CABG,N,0.25492,4596
2019-2020,Post-Operative Atrial Fibrillation,CABG type,Other Non-Isolated CABG,N,0.31758,383
2019-2020,Post-Operative Atrial Fibrillation,Gender,Female,N,0.24642,1102
2019-2020,Post-Operative Atrial Fibrillation,Gender,Male,N,0.28046,4831
2019-2020,Post-Operative Atrial Fibrillation,PayorType,Medi-Cal,N,0.16824,89
2019-2020,Post-Operative Atrial Fibrillation,PayorType,Medicare,N,0.34916,897
2019-2020,Post-Operative Atrial Fibrillation,PayorType,Other Insurance,N,0.26742,4767
2019-2020,Post-Operative Atrial Fibrillation,PayorType,Private Insurance,N,0.23364,175
2019-2020,Post-Operative Atrial Fibrillation,PayorType,Uninsured,N,0.20833,5
2019-2020,Post-Operative Atrial Fibrillation,Race,Asian,N,0.25875,776
2019-2020,Post-Operative Atrial Fibrillation,Race,Black,N,0.23564,201
2019-2020,Post-Operative Atrial Fibrillation,Race,Hispanic,N,0.19477,872
2019-2020,Post-Operative Atrial Fibrillation,Race,Native,N,0.26389,19
2019-2020,Post-Operative Atrial Fibrillation,Race,Others,N,0.28195,364
2019-2020,Post-Operative Atrial Fibrillation,Race,Pacific,N,0.2426,41
2019-2020,Post-Operative Atrial Fibrillation,Race,White,N,0.30923,3660
2019-2020,Post-Operative Dialysis,Age,0 to 40,N,0.00562,1
2019-2020,Post-Operative Dialysis,Age,41-65,N,0.00829,77
2019-2020,Post-Operative Dialysis,Age,66 to Max,N,0.01456,178
2019-2020,Post-Operative Dialysis,All,All,N,0.0118,256
2019-2020,Post-Operative Dialysis,CABG type,CABG+Valve,N,0.01543,38
2019-2020,Post-Operative Dialysis,CABG type,Isolated CABG,N,0.00993,179
2019-2020,Post-Operative Dialysis,CABG type,Other Non-Isolated CABG,N,0.03234,39
2019-2020,Post-Operative Dialysis,Gender,Female,N,0.01811,81
2019-2020,Post-Operative Dialysis,Gender,Male,N,0.01016,175
2019-2020,Post-Operative Dialysis,PayorType,Medi-Cal,N,0.01701,9
2019-2020,Post-Operative Dialysis,PayorType,Medicare,N,0.02608,67
2019-2020,Post-Operative Dialysis,PayorType,Other Insurance,N,0.0092,164
2019-2020,Post-Operative Dialysis,PayorType,Private Insurance,N,0.02136,16
2019-2020,Post-Operative Dialysis,PayorType,Uninsured,N,0,0
2019-2020,Post-Operative Dialysis,Race,Asian,N,0.01367,41
2019-2020,Post-Operative Dialysis,Race,Black,N,0.01641,14
2019-2020,Post-Operative Dialysis,Race,Hispanic,N,0.01139,51
2019-2020,Post-Operative Dialysis,Race,Native,N,0,0
2019-2020,Post-Operative Dialysis,Race,Others,N,0.01549,20
2019-2020,Post-Operative Dialysis,Race,Pacific,N,0.01775,3
2019-2020,Post-Operative Dialysis,Race,White,N,0.01073,127
2019-2020,Post-Operative Renal Failure,Age,0 to 40,N,0.01124,2
2019-2020,Post-Operative Renal Failure,Age,41-65,N,0.01378,128
2019-2020,Post-Operative Renal Failure,Age,66 to Max,N,0.02126,260
2019-2020,Post-Operative Renal Failure,All,All,N,0.01797,390
2019-2020,Post-Operative Renal Failure,CABG type,CABG+Valve,N,0.02437,60
2019-2020,Post-Operative Renal Failure,CABG type,Isolated CABG,N,0.01536,277
2019-2020,Post-Operative Renal Failure,CABG type,Other Non-Isolated CABG,N,0.04395,53
2019-2020,Post-Operative Renal Failure,Gender,Female,N,0.02348,105
2019-2020,Post-Operative Renal Failure,Gender,Male,N,0.01655,285
2019-2020,Post-Operative Renal Failure,PayorType,Medi-Cal,N,0.03592,19
2019-2020,Post-Operative Renal Failure,PayorType,Medicare,N,0.03542,91
2019-2020,Post-Operative Renal Failure,PayorType,Other Insurance,N,0.01425,254
2019-2020,Post-Operative Renal Failure,PayorType,Private Insurance,N,0.03471,26
2019-2020,Post-Operative Renal Failure,PayorType,Uninsured,N,0,0
2019-2020,Post-Operative Renal Failure,Race,Asian,N,0.02134,64
2019-2020,Post-Operative Renal Failure,Race,Black,N,0.02579,22
2019-2020,Post-Operative Renal Failure,Race,Hispanic,N,0.01742,78
2019-2020,Post-Operative Renal Failure,Race,Native,N,0.01389,1
2019-2020,Post-Operative Renal Failure,Race,Others,N,0.02479,32
2019-2020,Post-Operative Renal Failure,Race,Pacific,N,0.01775,3
2019-2020,Post-Operative Renal Failure,Race,White,N,0.01605,190
2019-2020,Post-Operative Stroke,Age,0 to 40,N,0.01124,2
2019-2020,Post-Operative Stroke,Age,41-65,N,0.01087,101
2019-2020,Post-Operative Stroke,Age,66 to Max,N,0.01677,205
2019-2020,Post-Operative Stroke,All,All,N,0.0142,308
2019-2020,Post-Operative Stroke,CABG type,CABG+Valve,N,0.01706,42
2019-2020,Post-Operative Stroke,CABG type,Isolated CABG,N,0.01231,222
2019-2020,Post-Operative Stroke,CABG type,Other Non-Isolated CABG,N,0.03648,44
2019-2020,Post-Operative Stroke,Gender,Female,N,0.02124,95
2019-2020,Post-Operative Stroke,Gender,Male,N,0.01237,213
2019-2020,Post-Operative Stroke,PayorType,Medi-Cal,N,0.02647,14
2019-2020,Post-Operative Stroke,PayorType,Medicare,N,0.02764,71
2019-2020,Post-Operative Stroke,PayorType,Other Insurance,N,0.01161,207
2019-2020,Post-Operative Stroke,PayorType,Private Insurance,N,0.02003,15
2019-2020,Post-Operative Stroke,PayorType,Uninsured,N,0.04167,1
2019-2020,Post-Operative Stroke,Race,Asian,N,0.01934,58
2019-2020,Post-Operative Stroke,Race,Black,N,0.02345,20
2019-2020,Post-Operative Stroke,Race,Hispanic,N,0.01229,55
2019-2020,Post-Operative Stroke,Race,Native,N,0.01389,1
2019-2020,Post-Operative Stroke,Race,Others,N,0.02014,26
2019-2020,Post-Operative Stroke,Race,Pacific,N,0.02367,4
2019-2020,Post-Operative Stroke,Race,White,N,0.01217,144
2019-2020,Prolonged Ventilation,Age,0 to 40,N,0.10674,19
2019-2020,Prolonged Ventilation,Age,41-65,N,0.0593,551
2019-2020,Prolonged Ventilation,Age,66 to Max,N,0.06813,833
2019-2020,Prolonged Ventilation,All,All,N,0.06466,1403
2019-2020,Prolonged Ventilation,CABG type,CABG+Valve,N,0.10479,258
2019-2020,Prolonged Ventilation,CABG type,Isolated CABG,N,0.05386,971
2019-2020,Prolonged Ventilation,CABG type,Other Non-Isolated CABG,N,0.14428,174
2019-2020,Prolonged Ventilation,Gender,Female,N,0.08631,386
2019-2020,Prolonged Ventilation,Gender,Male,N,0.05904,1017
2019-2020,Prolonged Ventilation,PayorType,Medi-Cal,N,0.08507,45
2019-2020,Prolonged Ventilation,PayorType,Medicare,N,0.11522,296
2019-2020,Prolonged Ventilation,PayorType,Other Insurance,N,0.05537,987
2019-2020,Prolonged Ventilation,PayorType,Private Insurance,N,0.0988,74
2019-2020,Prolonged Ventilation,PayorType,Uninsured,N,0.04167,1
2019-2020,Prolonged Ventilation,Race,Asian,N,0.06669,200
2019-2020,Prolonged Ventilation,Race,Black,N,0.10434,89
2019-2020,Prolonged Ventilation,Race,Hispanic,N,0.06321,283
2019-2020,Prolonged Ventilation,Race,Native,N,0.02778,2
2019-2020,Prolonged Ventilation,Race,Others,N,0.07746,100
2019-2020,Prolonged Ventilation,Race,Pacific,N,0.08284,14
2019-2020,Prolonged Ventilation,Race,White,N,0.06041,715
2019-2020,Re-Operative for Bleed,Age,0 to 40,N,0.00562,1
2019-2020,Re-Operative for Bleed,Age,41-65,N,0.01614,150
2019-2020,Re-Operative for Bleed,Age,66 to Max,N,0.02159,264
2019-2020,Re-Operative for Bleed,All,All,N,0.01913,415
2019-2020,Re-Operative for Bleed,CABG type,CABG+Valve,N,0.03452,85
2019-2020,Re-Operative for Bleed,CABG type,Isolated CABG,N,0.01575,284
2019-2020,Re-Operative for Bleed,CABG type,Other Non-Isolated CABG,N,0.03814,46
2019-2020,Re-Operative for Bleed,Gender,Female,N,0.01521,68
2019-2020,Re-Operative for Bleed,Gender,Male,N,0.02015,347
2019-2020,Re-Operative for Bleed,PayorType,Medi-Cal,N,0.02836,15
2019-2020,Re-Operative for Bleed,PayorType,Medicare,N,0.02608,67
2019-2020,Re-Operative for Bleed,PayorType,Other Insurance,N,0.01761,314
2019-2020,Re-Operative for Bleed,PayorType,Private Insurance,N,0.02537,19
2019-2020,Re-Operative for Bleed,PayorType,Uninsured,N,0,0
2019-2020,Re-Operative for Bleed,Race,Asian,N,0.02267,68
2019-2020,Re-Operative for Bleed,Race,Black,N,0.01758,15
2019-2020,Re-Operative for Bleed,Race,Hispanic,N,0.02122,95
2019-2020,Re-Operative for Bleed,Race,Native,N,0,0
2019-2020,Re-Operative for Bleed,Race,Others,N,0.01472,19
2019-2020,Re-Operative for Bleed,Race,Pacific,N,0.02367,4
2019-2020,Re-Operative for Bleed,Race,White,N,0.01808,214
2019-2020,Reintervention for Myocardial Ischemia,Age,0 to 40,N,0,0
2019-2020,Reintervention for Myocardial Ischemia,Age,41-65,N,0.00258,24
2019-2020,Reintervention for Myocardial Ischemia,Age,66 to Max,N,0.00204,25
2019-2020,Reintervention for Myocardial Ischemia,All,All,N,0.00226,49
2019-2020,Reintervention for Myocardial Ischemia,CABG type,CABG+Valve,N,0.00081,2
2019-2020,Reintervention for Myocardial Ischemia,CABG type,Isolated CABG,N,0.0025,45
2019-2020,Reintervention for Myocardial Ischemia,CABG type,Other Non-Isolated CABG,N,0.00166,2
2019-2020,Reintervention for Myocardial Ischemia,Gender,Female,N,0.00335,15
2019-2020,Reintervention for Myocardial Ischemia,Gender,Male,N,0.00197,34
2019-2020,Reintervention for Myocardial Ischemia,PayorType,Medi-Cal,N,0.00567,3
2019-2020,Reintervention for Myocardial Ischemia,PayorType,Medicare,N,0.00234,6
2019-2020,Reintervention for Myocardial Ischemia,PayorType,Other Insurance,N,0.00185,33
2019-2020,Reintervention for Myocardial Ischemia,PayorType,Private Insurance,N,0.00935,7
2019-2020,Reintervention for Myocardial Ischemia,PayorType,Uninsured,N,0,0
2019-2020,Reintervention for Myocardial Ischemia,Race,Asian,N,0.00333,10
2019-2020,Reintervention for Myocardial Ischemia,Race,Black,N,0.00352,3
2019-2020,Reintervention for Myocardial Ischemia,Race,Hispanic,N,0.00246,11
2019-2020,Reintervention for Myocardial Ischemia,Race,Native,N,0,0
