Year,complication,category,Strata,readmission,Yes,Count
2019-2020,Reintervention for Myocardial Ischemia,Race,Others,N,0.00387,5
2019-2020,Reintervention for Myocardial Ischemia,Race,Pacific,N,0,0
2019-2020,Reintervention for Myocardial Ischemia,Race,White,N,0.00169,20
2020-2021,Deep Sternal Infection,Age,41-65,N,0.00069,6
2020-2021,Deep Sternal Infection,Age,Over 65,N,0.00085,10
2020-2021,Deep Sternal Infection,Age,Under 40,N,0,0
2020-2021,Deep Sternal Infection,All,All,N,0.00078,16
2020-2021,Deep Sternal Infection,CABG type,CABG+Valve,N,0.00045,1
2020-2021,Deep Sternal Infection,CABG type,Isolated CABG,N,0.00076,13
2020-2021,Deep Sternal Infection,CABG type,Other Non-Isolated CABG,N,0.00172,2
2020-2021,Deep Sternal Infection,Gender,Female,N,0.00047,2
2020-2021,Deep Sternal Infection,Gender,Male,N,0.00086,14
2020-2021,Deep Sternal Infection,PayorType,Medi-Cal,N,0.00185,1
2020-2021,Deep Sternal Infection,PayorType,Medicare,N,0.00206,5
2020-2021,Deep Sternal Infection,PayorType,Other Insurance,N,0.00059,10
2020-2021,Deep Sternal Infection,PayorType,Private Insurance,N,0,0
2020-2021,Deep Sternal Infection,PayorType,Uninsured,N,0,0
2020-2021,Deep Sternal Infection,Race,Asian,N,0.00104,3
2020-2021,Deep Sternal Infection,Race,Black,N,0,0
2020-2021,Deep Sternal Infection,Race,Hispanic,N,0.00072,3
2020-2021,Deep Sternal Infection,Race,Native,N,0,0
2020-2021,Deep Sternal Infection,Race,Others,N,0.00143,2
2020-2021,Deep Sternal Infection,Race,Pacific,N,0,0
2020-2021,Deep Sternal Infection,Race,White,N,0.00072,8
2020-2021,Post-Operative Atrial Fibrillation,Age,41-65,N,0.20328,1760
2020-2021,Post-Operative Atrial Fibrillation,Age,Over 65,N,0.3402,3981
2020-2021,Post-Operative Atrial Fibrillation,Age,Under 40,N,0.03804,7
2020-2021,Post-Operative Atrial Fibrillation,All,All,N,0.27979,5748
2020-2021,Post-Operative Atrial Fibrillation,CABG type,CABG+Valve,N,0.39214,878
2020-2021,Post-Operative Atrial Fibrillation,CABG type,Isolated CABG,N,0.26235,4498
2020-2021,Post-Operative Atrial Fibrillation,CABG type,Other Non-Isolated CABG,N,0.32069,372
2020-2021,Post-Operative Atrial Fibrillation,Gender,Female,N,0.25653,1081
2020-2021,Post-Operative Atrial Fibrillation,Gender,Male,N,0.28579,4667
2020-2021,Post-Operative Atrial Fibrillation,PayorType,Medi-Cal,N,0.18819,102
2020-2021,Post-Operative Atrial Fibrillation,PayorType,Medicare,N,0.35488,862
2020-2021,Post-Operative Atrial Fibrillation,PayorType,Other Insurance,N,0.27313,4605
2020-2021,Post-Operative Atrial Fibrillation,PayorType,Private Insurance,N,0.24964,173
2020-2021,Post-Operative Atrial Fibrillation,PayorType,Uninsured,N,0.3,6
2020-2021,Post-Operative Atrial Fibrillation,Race,Asian,N,0.26683,773
2020-2021,Post-Operative Atrial Fibrillation,Race,Black,N,0.22059,165
2020-2021,Post-Operative Atrial Fibrillation,Race,Hispanic,N,0.18914,791
2020-2021,Post-Operative Atrial Fibrillation,Race,Native,N,0.27692,18
2020-2021,Post-Operative Atrial Fibrillation,Race,Others,N,0.26576,371
2020-2021,Post-Operative Atrial Fibrillation,Race,Pacific,N,0.25325,39
2020-2021,Post-Operative Atrial Fibrillation,Race,White,N,0.32346,3591
2020-2021,Post-Operative Dialysis,Age,41-65,N,0.00832,72
2020-2021,Post-Operative Dialysis,Age,Over 65,N,0.01589,186
2020-2021,Post-Operative Dialysis,Age,Under 40,N,0,0
2020-2021,Post-Operative Dialysis,All,All,N,0.01256,258
2020-2021,Post-Operative Dialysis,CABG type,CABG+Valve,N,0.02144,48
2020-2021,Post-Operative Dialysis,CABG type,Isolated CABG,N,0.01021,175
2020-2021,Post-Operative Dialysis,CABG type,Other Non-Isolated CABG,N,0.03017,35
2020-2021,Post-Operative Dialysis,Gender,Female,N,0.01732,73
2020-2021,Post-Operative Dialysis,Gender,Male,N,0.01133,185
2020-2021,Post-Operative Dialysis,PayorType,Medi-Cal,N,0.01107,6
2020-2021,Post-Operative Dialysis,PayorType,Medicare,N,0.03211,78
2020-2021,Post-Operative Dialysis,PayorType,Other Insurance,N,0.00937,158
2020-2021,Post-Operative Dialysis,PayorType,Private Insurance,N,0.02309,16
2020-2021,Post-Operative Dialysis,PayorType,Uninsured,N,0,0
2020-2021,Post-Operative Dialysis,Race,Asian,N,0.01243,36
2020-2021,Post-Operative Dialysis,Race,Black,N,0.02005,15
2020-2021,Post-Operative Dialysis,Race,Hispanic,N,0.01411,59
2020-2021,Post-Operative Dialysis,Race,Native,N,0,0
2020-2021,Post-Operative Dialysis,Race,Others,N,0.01576,22
2020-2021,Post-Operative Dialysis,Race,Pacific,N,0.01299,2
2020-2021,Post-Operative Dialysis,Race,White,N,0.01117,124
2020-2021,Post-Operative Renal Failure,Age,41-65,N,0.01444,125
2020-2021,Post-Operative Renal Failure,Age,Over 65,N,0.02316,271
2020-2021,Post-Operative Renal Failure,Age,Under 40,N,0.00543,1
2020-2021,Post-Operative Renal Failure,All,All,N,0.01932,397
2020-2021,Post-Operative Renal Failure,CABG type,CABG+Valve,N,0.03037,68
2020-2021,Post-Operative Renal Failure,CABG type,Isolated CABG,N,0.01627,279
2020-2021,Post-Operative Renal Failure,CABG type,Other Non-Isolated CABG,N,0.0431,50
2020-2021,Post-Operative Renal Failure,Gender,Female,N,0.02634,111
2020-2021,Post-Operative Renal Failure,Gender,Male,N,0.01751,286
2020-2021,Post-Operative Renal Failure,PayorType,Medi-Cal,N,0.02399,13
2020-2021,Post-Operative Renal Failure,PayorType,Medicare,N,0.04323,105
2020-2021,Post-Operative Renal Failure,PayorType,Other Insurance,N,0.01507,254
2020-2021,Post-Operative Renal Failure,PayorType,Private Insurance,N,0.03608,25
2020-2021,Post-Operative Renal Failure,PayorType,Uninsured,N,0,0
2020-2021,Post-Operative Renal Failure,Race,Asian,N,0.02002,58
2020-2021,Post-Operative Renal Failure,Race,Black,N,0.03877,29
2020-2021,Post-Operative Renal Failure,Race,Hispanic,N,0.01841,77
2020-2021,Post-Operative Renal Failure,Race,Native,N,0.01538,1
2020-2021,Post-Operative Renal Failure,Race,Others,N,0.02436,34
2020-2021,Post-Operative Renal Failure,Race,Pacific,N,0.01299,2
2020-2021,Post-Operative Renal Failure,Race,White,N,0.01765,196
2020-2021,Post-Operative Stroke,Age,41-65,N,0.01132,98
2020-2021,Post-Operative Stroke,Age,Over 65,N,0.01444,169
2020-2021,Post-Operative Stroke,Age,Under 40,N,0.02717,5
2020-2021,Post-Operative Stroke,All,All,N,0.01324,272
2020-2021,Post-Operative Stroke,CABG type,CABG+Valve,N,0.02144,48
2020-2021,Post-Operative Stroke,CABG type,Isolated CABG,N,0.01108,190
2020-2021,Post-Operative Stroke,CABG type,Other Non-Isolated CABG,N,0.02931,34
2020-2021,Post-Operative Stroke,Gender,Female,N,0.01851,78
2020-2021,Post-Operative Stroke,Gender,Male,N,0.01188,194
2020-2021,Post-Operative Stroke,PayorType,Medi-Cal,N,0.0203,11
2020-2021,Post-Operative Stroke,PayorType,Medicare,N,0.02264,55
2020-2021,Post-Operative Stroke,PayorType,Other Insurance,N,0.01115,188
2020-2021,Post-Operative Stroke,PayorType,Private Insurance,N,0.02597,18
2020-2021,Post-Operative Stroke,PayorType,Uninsured,N,0,0
2020-2021,Post-Operative Stroke,Race,Asian,N,0.01726,50
2020-2021,Post-Operative Stroke,Race,Black,N,0.02273,17
2020-2021,Post-Operative Stroke,Race,Hispanic,N,0.01459,61
2020-2021,Post-Operative Stroke,Race,Native,N,0.01538,1
2020-2021,Post-Operative Stroke,Race,Others,N,0.01719,24
2020-2021,Post-Operative Stroke,Race,Pacific,N,0.00649,1
2020-2021,Post-Operative Stroke,Race,White,N,0.01063,118
2020-2021,Prolonged Ventilation,Age,41-65,N,0.06179,535
2020-2021,Prolonged Ventilation,Age,Over 65,N,0.0664,777
2020-2021,Prolonged Ventilation,Age,Under 40,N,0.07609,14
2020-2021,Prolonged Ventilation,All,All,N,0.06454,1326
2020-2021,Prolonged Ventilation,CABG type,CABG+Valve,N,0.11076,248
2020-2021,Prolonged Ventilation,CABG type,Isolated CABG,N,0.05284,906
2020-2021,Prolonged Ventilation,CABG type,Other Non-Isolated CABG,N,0.14828,172
2020-2021,Prolonged Ventilation,Gender,Female,N,0.08282,349
2020-2021,Prolonged Ventilation,Gender,Male,N,0.05983,977
2020-2021,Prolonged Ventilation,PayorType,Medi-Cal,N,0.07749,42
2020-2021,Prolonged Ventilation,PayorType,Medicare,N,0.11445,278
2020-2021,Prolonged Ventilation,PayorType,Other Insurance,N,0.05581,941
2020-2021,Prolonged Ventilation,PayorType,Private Insurance,N,0.0938,65
2020-2021,Prolonged Ventilation,PayorType,Uninsured,N,0,0
2020-2021,Prolonged Ventilation,Race,Asian,N,0.07076,205
2020-2021,Prolonged Ventilation,Race,Black,N,0.1016,76
2020-2021,Prolonged Ventilation,Race,Hispanic,N,0.0648,271
2020-2021,Prolonged Ventilation,Race,Native,N,0.06154,4
2020-2021,Prolonged Ventilation,Race,Others,N,0.06877,96
2020-2021,Prolonged Ventilation,Race,Pacific,N,0.08442,13
2020-2021,Prolonged Ventilation,Race,White,N,0.05954,661
2020-2021,Re-Operative for Bleed,Age,41-65,N,0.01871,162
2020-2021,Re-Operative for Bleed,Age,Over 65,N,0.02051,240
2020-2021,Re-Operative for Bleed,Age,Under 40,N,0.00543,1
2020-2021,Re-Operative for Bleed,All,All,N,0.01962,403
2020-2021,Re-Operative for Bleed,CABG type,CABG+Valve,N,0.03394,76
2020-2021,Re-Operative for Bleed,CABG type,Isolated CABG,N,0.01662,285
2020-2021,Re-Operative for Bleed,CABG type,Other Non-Isolated CABG,N,0.03621,42
2020-2021,Re-Operative for Bleed,Gender,Female,N,0.01875,79
2020-2021,Re-Operative for Bleed,Gender,Male,N,0.01984,324
2020-2021,Re-Operative for Bleed,PayorType,Medi-Cal,N,0.02399,13
2020-2021,Re-Operative for Bleed,PayorType,Medicare,N,0.02429,59
2020-2021,Re-Operative for Bleed,PayorType,Other Insurance,N,0.01892,319
2020-2021,Re-Operative for Bleed,PayorType,Private Insurance,N,0.01732,12
2020-2021,Re-Operative for Bleed,PayorType,Uninsured,N,0,0
2020-2021,Re-Operative for Bleed,Race,Asian,N,0.02244,65
2020-2021,Re-Operative for Bleed,Race,Black,N,0.02406,18
2020-2021,Re-Operative for Bleed,Race,Hispanic,N,0.01889,79
2020-2021,Re-Operative for Bleed,Race,Native,N,0,0
2020-2021,Re-Operative for Bleed,Race,Others,N,0.01791,25
2020-2021,Re-Operative for Bleed,Race,Pacific,N,0.01299,2
2020-2021,Re-Operative for Bleed,Race,White,N,0.01928,214
2020-2021,Reintervention for Myocardial Ischemia,Age,41-65,N,0.00266,23
2020-2021,Reintervention for Myocardial Ischemia,Age,Over 65,N,0.00299,35
2020-2021,Reintervention for Myocardial Ischemia,Age,Under 40,N,0,0
2020-2021,Reintervention for Myocardial Ischemia,All,All,N,0.00282,58
2020-2021,Reintervention for Myocardial Ischemia,CABG type,CABG+Valve,N,0.00089,2
2020-2021,Reintervention for Myocardial Ischemia,CABG type,Isolated CABG,N,0.00315,54
2020-2021,Reintervention for Myocardial Ischemia,CABG type,Other Non-Isolated CABG,N,0.00172,2
2020-2021,Reintervention for Myocardial Ischemia,Gender,Female,N,0.00356,15
2020-2021,Reintervention for Myocardial Ischemia,Gender,Male,N,0.00263,43
2020-2021,Reintervention for Myocardial Ischemia,PayorType,Medi-Cal,N,0.00554,3
2020-2021,Reintervention for Myocardial Ischemia,PayorType,Medicare,N,0.00329,8
2020-2021,Reintervention for Myocardial Ischemia,PayorType,Other Insurance,N,0.00261,44
2020-2021,Reintervention for Myocardial Ischemia,PayorType,Private Insurance,N,0.00433,3
2020-2021,Reintervention for Myocardial Ischemia,PayorType,Uninsured,N,0,0
2020-2021,Reintervention for Myocardial Ischemia,Race,Asian,N,0.00311,9
2020-2021,Reintervention for Myocardial Ischemia,Race,Black,N,0.00535,4
2020-2021,Reintervention for Myocardial Ischemia,Race,Hispanic,N,0.00311,13
2020-2021,Reintervention for Myocardial Ischemia,Race,Native,N,0,0
2020-2021,Reintervention for Myocardial Ischemia,Race,Others,N,0.0043,6
2020-2021,Reintervention for Myocardial Ischemia,Race,Pacific,N,0,0
2020-2021,Reintervention for Myocardial Ischemia,Race,White,N,0.00234,26
2018-2019,Deep Sternal Infection,Age,0 to 40,Y,0,0
2018-2019,Deep Sternal Infection,Age,41-65,Y,0.02053,28
2018-2019,Deep Sternal Infection,Age,66 to Max,Y,0.0148,32
2018-2019,Deep Sternal Infection,All,All,Y,0.01687,60
2018-2019,Deep Sternal Infection,CABG type,CABG+Valve,Y,0.01211,7
2018-2019,Deep Sternal Infection,CABG type,Isolated CABG,Y,0.01741,47
2018-2019,Deep Sternal Infection,CABG type,Other Non-Isolated CABG,Y,0.02143,6
2018-2019,Deep Sternal Infection,Gender,Female,Y,0.02067,21
2018-2019,Deep Sternal Infection,Gender,Male,Y,0.01535,39
2018-2019,Deep Sternal Infection,PayorType,Medi-Cal,Y,0.02386,12
2018-2019,Deep Sternal Infection,PayorType,Medicare,Y,0.01487,34
2018-2019,Deep Sternal Infection,PayorType,Other Insurance,Y,0.01389,1
2018-2019,Deep Sternal Infection,PayorType,Private Insurance,Y,0.0194,13
2018-2019,Deep Sternal Infection,PayorType,Uninsured,Y,0,0
2018-2019,Deep Sternal Infection,Race,Asian,Y,0.01839,8
2018-2019,Deep Sternal Infection,Race,Black,Y,0.00641,1
2018-2019,Deep Sternal Infection,Race,Hispanic,Y,0.01603,13
2018-2019,Deep Sternal Infection,Race,Native,Y,0,0
2018-2019,Deep Sternal Infection,Race,Others,Y,0.02116,4
2018-2019,Deep Sternal Infection,Race,Pacific,Y,0,0
2018-2019,Deep Sternal Infection,Race,White,Y,0.01762,34
2018-2019,Post-Operative Atrial Fibrillation,Age,0 to 40,Y,0.03226,1
2018-2019,Post-Operative Atrial Fibrillation,Age,41-65,Y,0.22654,309
2018-2019,Post-Operative Atrial Fibrillation,Age,66 to Max,Y,0.3765,814
2018-2019,Post-Operative Atrial Fibrillation,All,All,Y,0.316,1124
2018-2019,Post-Operative Atrial Fibrillation,CABG type,CABG+Valve,Y,0.40138,232
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Isolated CABG,Y,0.29492,796
2018-2019,Post-Operative Atrial Fibrillation,CABG type,Other Non-Isolated CABG,Y,0.34286,96
2018-2019,Post-Operative Atrial Fibrillation,Gender,Female,Y,0.30906,314
2018-2019,Post-Operative Atrial Fibrillation,Gender,Male,Y,0.31877,810
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medi-Cal,Y,0.21272,107
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Medicare,Y,0.35461,811
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Other Insurance,Y,0.34722,25
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Private Insurance,Y,0.26567,178
2018-2019,Post-Operative Atrial Fibrillation,PayorType,Uninsured,Y,0.12,3
2018-2019,Post-Operative Atrial Fibrillation,Race,Asian,Y,0.35402,154
2018-2019,Post-Operative Atrial Fibrillation,Race,Black,Y,0.24359,38
2018-2019,Post-Operative Atrial Fibrillation,Race,Hispanic,Y,0.24661,200
2018-2019,Post-Operative Atrial Fibrillation,Race,Native,Y,0.3,3
2018-2019,Post-Operative Atrial Fibrillation,Race,Others,Y,0.28042,53
2018-2019,Post-Operative Atrial Fibrillation,Race,Pacific,Y,0.30769,8
2018-2019,Post-Operative Atrial Fibrillation,Race,White,Y,0.34611,668
2018-2019,Post-Operative Dialysis,Age,0 to 40,Y,0,0
2018-2019,Post-Operative Dialysis,Age,41-65,Y,0.02933,40
2018-2019,Post-Operative Dialysis,Age,66 to Max,Y,0.03006,65
2018-2019,Post-Operative Dialysis,All,All,Y,0.02952,105
2018-2019,Post-Operative Dialysis,CABG type,CABG+Valve,Y,0.03633,21
2018-2019,Post-Operative Dialysis,CABG type,Isolated CABG,Y,0.02594,70
2018-2019,Post-Operative Dialysis,CABG type,Other Non-Isolated CABG,Y,0.05,14
2018-2019,Post-Operative Dialysis,Gender,Female,Y,0.0374,38
2018-2019,Post-Operative Dialysis,Gender,Male,Y,0.02637,67
2018-2019,Post-Operative Dialysis,PayorType,Medi-Cal,Y,0.03976,20
2018-2019,Post-Operative Dialysis,PayorType,Medicare,Y,0.02886,66
2018-2019,Post-Operative Dialysis,PayorType,Other Insurance,Y,0.05556,4
2018-2019,Post-Operative Dialysis,PayorType,Private Insurance,Y,0.02239,15
2018-2019,Post-Operative Dialysis,PayorType,Uninsured,Y,0,0
2018-2019,Post-Operative Dialysis,Race,Asian,Y,0.03678,16
2018-2019,Post-Operative Dialysis,Race,Black,Y,0.04487,7
2018-2019,Post-Operative Dialysis,Race,Hispanic,Y,0.03453,28
2018-2019,Post-Operative Dialysis,Race,Native,Y,0.1,1
2018-2019,Post-Operative Dialysis,Race,Others,Y,0.02646,5
2018-2019,Post-Operative Dialysis,Race,Pacific,Y,0.03846,1
2018-2019,Post-Operative Dialysis,Race,White,Y,0.02435,47
2018-2019,Post-Operative Renal Failure,Age,0 to 40,Y,0.03226,1
2018-2019,Post-Operative Renal Failure,Age,41-65,Y,0.03886,53
2018-2019,Post-Operative Renal Failure,Age,66 to Max,Y,0.05319,115
2018-2019,Post-Operative Renal Failure,All,All,Y,0.04751,169
2018-2019,Post-Operative Renal Failure,CABG type,CABG+Valve,Y,0.0692,40
2018-2019,Post-Operative Renal Failure,CABG type,Isolated CABG,Y,0.04039,109
2018-2019,Post-Operative Renal Failure,CABG type,Other Non-Isolated CABG,Y,0.07143,20
2018-2019,Post-Operative Renal Failure,Gender,Female,Y,0.05512,56
2018-2019,Post-Operative Renal Failure,Gender,Male,Y,0.04447,113
2018-2019,Post-Operative Renal Failure,PayorType,Medi-Cal,Y,0.05169,26
2018-2019,Post-Operative Renal Failure,PayorType,Medicare,Y,0.04941,113
2018-2019,Post-Operative Renal Failure,PayorType,Other Insurance,Y,0.05556,4
2018-2019,Post-Operative Renal Failure,PayorType,Private Insurance,Y,0.03881,26
2018-2019,Post-Operative Renal Failure,PayorType,Uninsured,Y,0,0
2018-2019,Post-Operative Renal Failure,Race,Asian,Y,0.05977,26
2018-2019,Post-Operative Renal Failure,Race,Black,Y,0.04487,7
2018-2019,Post-Operative Renal Failure,Race,Hispanic,Y,0.05919,48
2018-2019,Post-Operative Renal Failure,Race,Native,Y,0.1,1
2018-2019,Post-Operative Renal Failure,Race,Others,Y,0.0582,11
2018-2019,Post-Operative Renal Failure,Race,Pacific,Y,0.07692,2
2018-2019,Post-Operative Renal Failure,Race,White,Y,0.03834,74
2018-2019,Post-Operative Stroke,Age,0 to 40,Y,0.03226,1
2018-2019,Post-Operative Stroke,Age,41-65,Y,0.02346,32
2018-2019,Post-Operative Stroke,Age,66 to Max,Y,0.03053,66
2018-2019,Post-Operative Stroke,All,All,Y,0.02783,99
2018-2019,Post-Operative Stroke,CABG type,CABG+Valve,Y,0.03114,18
2018-2019,Post-Operative Stroke,CABG type,Isolated CABG,Y,0.02519,68
2018-2019,Post-Operative Stroke,CABG type,Other Non-Isolated CABG,Y,0.04643,13
2018-2019,Post-Operative Stroke,Gender,Female,Y,0.03543,36
2018-2019,Post-Operative Stroke,Gender,Male,Y,0.02479,63
2018-2019,Post-Operative Stroke,PayorType,Medi-Cal,Y,0.02982,15
2018-2019,Post-Operative Stroke,PayorType,Medicare,Y,0.03017,69
2018-2019,Post-Operative Stroke,PayorType,Other Insurance,Y,0,0
2018-2019,Post-Operative Stroke,PayorType,Private Insurance,Y,0.0209,14
2018-2019,Post-Operative Stroke,PayorType,Uninsured,Y,0.04,1
2018-2019,Post-Operative Stroke,Race,Asian,Y,0.05517,24
2018-2019,Post-Operative Stroke,Race,Black,Y,0.03846,6
2018-2019,Post-Operative Stroke,Race,Hispanic,Y,0.02713,22
2018-2019,Post-Operative Stroke,Race,Native,Y,0,0
2018-2019,Post-Operative Stroke,Race,Others,Y,0.03704,7
2018-2019,Post-Operative Stroke,Race,Pacific,Y,0.03846,1
2018-2019,Post-Operative Stroke,Race,White,Y,0.02021,39
2018-2019,Prolonged Ventilation,Age,0 to 40,Y,0.06452,2
2018-2019,Prolonged Ventilation,Age,41-65,Y,0.14663,200
2018-2019,Prolonged Ventilation,Age,66 to Max,Y,0.13228,286
2018-2019,Prolonged Ventilation,All,All,Y,0.13719,488
2018-2019,Prolonged Ventilation,CABG type,CABG+Valve,Y,0.19377,112
2018-2019,Prolonged Ventilation,CABG type,Isolated CABG,Y,0.11819,319
2018-2019,Prolonged Ventilation,CABG type,Other Non-Isolated CABG,Y,0.20357,57
2018-2019,Prolonged Ventilation,Gender,Female,Y,0.16634,169
2018-2019,Prolonged Ventilation,Gender,Male,Y,0.12554,319
2018-2019,Prolonged Ventilation,PayorType,Medi-Cal,Y,0.12922,65
2018-2019,Prolonged Ventilation,PayorType,Medicare,Y,0.14254,326
2018-2019,Prolonged Ventilation,PayorType,Other Insurance,Y,0.16667,12
2018-2019,Prolonged Ventilation,PayorType,Private Insurance,Y,0.1194,80
2018-2019,Prolonged Ventilation,PayorType,Uninsured,Y,0.2,5
2018-2019,Prolonged Ventilation,Race,Asian,Y,0.17701,77
2018-2019,Prolonged Ventilation,Race,Black,Y,0.13462,21
2018-2019,Prolonged Ventilation,Race,Hispanic,Y,0.1307,106
2018-2019,Prolonged Ventilation,Race,Native,Y,0.2,2
2018-2019,Prolonged Ventilation,Race,Others,Y,0.15344,29
2018-2019,Prolonged Ventilation,Race,Pacific,Y,0.19231,5
2018-2019,Prolonged Ventilation,Race,White,Y,0.1285,248
2018-2019,Re-Operative for Bleed,Age,0 to 40,Y,0.03226,1
2018-2019,Re-Operative for Bleed,Age,41-65,Y,0.02566,35
2018-2019,Re-Operative for Bleed,Age,66 to Max,Y,0.02868,62
2018-2019,Re-Operative for Bleed,All,All,Y,0.02755,98
2018-2019,Re-Operative for Bleed,CABG type,CABG+Valve,Y,0.03287,19
2018-2019,Re-Operative for Bleed,CABG type,Isolated CABG,Y,0.02408,65
2018-2019,Re-Operative for Bleed,CABG type,Other Non-Isolated CABG,Y,0.05,14
2018-2019,Re-Operative for Bleed,Gender,Female,Y,0.0187,19
2018-2019,Re-Operative for Bleed,Gender,Male,Y,0.03109,79
2018-2019,Re-Operative for Bleed,PayorType,Medi-Cal,Y,0.0159,8
2018-2019,Re-Operative for Bleed,PayorType,Medicare,Y,0.03148,72
2018-2019,Re-Operative for Bleed,PayorType,Other Insurance,Y,0.02778,2
2018-2019,Re-Operative for Bleed,PayorType,Private Insurance,Y,0.02388,16
2018-2019,Re-Operative for Bleed,PayorType,Uninsured,Y,0,0
2018-2019,Re-Operative for Bleed,Race,Asian,Y,0.03908,17
2018-2019,Re-Operative for Bleed,Race,Black,Y,0.01923,3
2018-2019,Re-Operative for Bleed,Race,Hispanic,Y,0.02959,24
2018-2019,Re-Operative for Bleed,Race,Native,Y,0,0
2018-2019,Re-Operative for Bleed,Race,Others,Y,0.02116,4
2018-2019,Re-Operative for Bleed,Race,Pacific,Y,0,0
2018-2019,Re-Operative for Bleed,Race,White,Y,0.02591,50
2018-2019,Reintervention for Myocardial Ischemia,Age,0 to 40,Y,0,0
2018-2019,Reintervention for Myocardial Ischemia,Age,41-65,Y,0.00587,8
2018-2019,Reintervention for Myocardial Ischemia,Age,66 to Max,Y,0.00185,4
2018-2019,Reintervention for Myocardial Ischemia,All,All,Y,0.00337,12
2018-2019,Reintervention for Myocardial Ischemia,CABG type,CABG+Valve,Y,0.00173,1
2018-2019,Reintervention for Myocardial Ischemia,CABG type,Isolated CABG,Y,0.00371,10
2018-2019,Reintervention for Myocardial Ischemia,CABG type,Other Non-Isolated CABG,Y,0.00357,1
2018-2019,Reintervention for Myocardial Ischemia,Gender,Female,Y,0.00492,5
2018-2019,Reintervention for Myocardial Ischemia,Gender,Male,Y,0.00275,7
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Medi-Cal,Y,0.00398,2
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Medicare,Y,0.00262,6
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Other Insurance,Y,0,0
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Private Insurance,Y,0.00597,4
2018-2019,Reintervention for Myocardial Ischemia,PayorType,Uninsured,Y,0,0
2018-2019,Reintervention for Myocardial Ischemia,Race,Asian,Y,0.0046,2
2018-2019,Reintervention for Myocardial Ischemia,Race,Black,Y,0,0
2018-2019,Reintervention for Myocardial Ischemia,Race,Hispanic,Y,0.0037,3
2018-2019,Reintervention for Myocardial Ischemia,Race,Native,Y,0,0
